logrecno,geoid
0010655,36005042100
0010656,36005042200
0010657,36005042300
0010658,36005042400
0010659,36005042500
0010660,36005042600
0010661,36005042800
0010662,36005042901
0010663,36005042902
0010664,36005043000
0010665,36005043100
0010666,36005043400
0010667,36005043500
0010668,36005043600
0010669,36005044200
0010670,36005044400
0010671,36005044800
0010672,36005044901
0010673,36005044902
0010674,36005045101
0010675,36005045102
0010676,36005045600
0010677,36005045800
0010678,36005046000
0010679,36005046201
0010680,36005046202
0010681,36005048400
0010682,36005050400
0010683,36005051600
0011353,36047000100
0011354,36047000200
0011355,36047000301
0011356,36047000501
0011357,36047000502
0011358,36047000700
0011359,36047000900
0011360,36047001100
0011361,36047001300
0011362,36047001500
0011363,36047001800
0011364,36047002000
0011365,36047002100
0011366,36047002200
0011367,36047002300
0011368,36047002901
0011369,36047003000
0011370,36047003100
0011371,36047003300
0011372,36047003400
0011373,36047003500
0011374,36047003600
0011375,36047003700
0011376,36047003800
0011377,36047003900
0011378,36047004100
0011379,36047004300
0011380,36047004400
0011381,36047004500
0011382,36047004600
0011383,36047004700
0011384,36047004900
0011385,36047005000
0011386,36047005100
0011387,36047005201
0011388,36047005202
0011389,36047005300
0011390,36047005400
0011391,36047005601
0011392,36047005602
0011393,36047005800
0011394,36047005900
0011395,36047006000
0011396,36047006200
0011397,36047006300
0011398,36047006400
0011399,36047006500
0011400,36047006600
0011401,36047006700
0011402,36047006800
0011403,36047006900
0011404,36047007000
0011405,36047007100
0011406,36047007200
0011407,36047007400
0011408,36047007500
0011409,36047007600
0011410,36047007700
0011411,36047007800
0011412,36047008000
0011413,36047008200
0011414,36047008400
0011415,36047008500
0011416,36047008600
0011417,36047008800
0011418,36047009000
0011419,36047009200
0011420,36047009400
0011421,36047009600
0011422,36047009800
0011423,36047010000
0011424,36047010100
0011425,36047010200
0011426,36047010400
0011427,36047010600
0011428,36047010800
0011429,36047011000
0011430,36047011200
0011431,36047011400
0011432,36047011600
0011433,36047011700
0011434,36047011800
0011435,36047011900
0011436,36047012000
0011437,36047012100
0011438,36047012200
0011439,36047012600
0011440,36047012700
0011441,36047012801
0011442,36047012901
0011443,36047012902
0011444,36047013000
0011445,36047013100
0011446,36047013200
0011447,36047013300
0011448,36047013400
0011449,36047013500
0011450,36047013600
0011451,36047013700
0011452,36047013800
0011453,36047013900
0011454,36047014000
0011455,36047014100
0011456,36047014200
0011457,36047014300
0011458,36047014500
0011459,36047014700
0011460,36047014800
0011461,36047014900
0011462,36047015000
0011463,36047015100
0011464,36047015200
0011465,36047015300
0011466,36047015400
0011467,36047015500
0011468,36047015700
0011469,36047015900
0011470,36047016000
0011471,36047016100
0011472,36047016200
0011473,36047016300
0011474,36047016400
0011475,36047016500
0011476,36047016600
0011477,36047016700
0011478,36047016800
0011479,36047016900
0011480,36047017000
0011481,36047017100
0011482,36047017200
0011483,36047017400
0011484,36047017500
0011485,36047017600
0011486,36047017700
0011487,36047017800
0011488,36047017900
0011489,36047018000
0011490,36047018100
0011491,36047018200
0011492,36047018300
0011493,36047018400
0011494,36047018501
0011495,36047018600
0011496,36047018700
0011497,36047018800
0011498,36047019000
0011499,36047019100
0011500,36047019200
0011501,36047019300
0011502,36047019400
0011503,36047019500
0011504,36047019600
0011505,36047019700
0011506,36047019800
0011507,36047019900
0011508,36047020000
0011509,36047020100
0011510,36047020200
0011511,36047020300
0011512,36047020400
0011513,36047020500
0011514,36047020600
0011515,36047020700
0011516,36047020800
0011517,36047021000
0011518,36047021100
0011519,36047021200
0011520,36047021300
0011521,36047021400
0011522,36047021500
0011523,36047021600
0011524,36047021700
0011525,36047021800
0011526,36047021900
0011527,36047022000
0011528,36047022100
0011529,36047022200
0011530,36047022400
0011531,36047022600
0011532,36047022700
0011533,36047022800
0011534,36047022900
0011535,36047023000
0011536,36047023100
0011537,36047023200
0011538,36047023300
0011539,36047023400
0011540,36047023500
0011541,36047023600
0011542,36047023800
0011543,36047024000
0011544,36047024100
0011545,36047024200
0011546,36047024300
0011547,36047024400
0011548,36047024500
0011549,36047024600
0011550,36047024700
0011551,36047024800
0011552,36047024900
0011553,36047025000
0011554,36047025100
0011555,36047025200
0011556,36047025300
0011557,36047025400
0011558,36047025500
0011559,36047025600
0011560,36047025700
0011561,36047025800
0011562,36047025901
0011563,36047025902
0011564,36047026000
0011565,36047026100
0011566,36047026200
0011567,36047026300
0011568,36047026400
0011569,36047026500
0011570,36047026600
0011571,36047026700
0011572,36047026800
0011573,36047026900
0011574,36047027000
0011575,36047027100
0011576,36047027200
0011577,36047027300
0011578,36047027400
0011579,36047027500
0011580,36047027600
0011581,36047027700
0011582,36047027800
0011583,36047027900
0011584,36047028000
0011585,36047028100
0011586,36047028200
0011587,36047028300
0011588,36047028400
0011589,36047028501
0011590,36047028502
0011591,36047028600
0011592,36047028700
0011593,36047028800
0011594,36047028900
0011595,36047029000
0011596,36047029100
0011597,36047029200
0011598,36047029300
0011599,36047029400
0011600,36047029500
0011601,36047029600
0011602,36047029700
0011603,36047029800
0011604,36047029900
0011605,36047030000
0011606,36047030100
0011607,36047030200
0011608,36047030300
0011609,36047030400
0011610,36047030500
0011611,36047030600
0011612,36047030700
0011613,36047030800
0011614,36047030900
0011615,36047031100
0011616,36047031300
0011617,36047031400
0011618,36047031500
0011619,36047031701
0011620,36047031702
0011621,36047031900
0011622,36047032100
0011623,36047032300
0011624,36047032500
0011625,36047032600
0011626,36047032700
0011627,36047032800
0011628,36047032900
0011629,36047033000
0011630,36047033100
0011631,36047033300
0011632,36047033500
0011633,36047033600
0011634,36047033700
0011635,36047033900
0011636,36047034000
0011637,36047034100
0011638,36047034200
0011639,36047034300
0011640,36047034500
0011641,36047034700
0011642,36047034800
0011643,36047034900
0011644,36047035000
0011645,36047035100
0011646,36047035200
0011647,36047035300
0011648,36047035400
0011649,36047035500
0011650,36047035601
0011651,36047035602
0011652,36047035700
0011653,36047035900
0011654,36047036001
0011655,36047036002
0011656,36047036100
0011657,36047036200
0011658,36047036300
0011659,36047036400
0011660,36047036501
0011661,36047036502
0011662,36047036600
0011663,36047036700
0011664,36047036900
0011665,36047037000
0011666,36047037100
0011667,36047037300
0011668,36047037401
0011669,36047037402
0011670,36047037500
0011671,36047037700
0011672,36047037900
0011673,36047038100
0011674,36047038200
0011675,36047038300
0011676,36047038500
0011677,36047038600
0011678,36047038700
0011679,36047038800
0011680,36047038900
0011681,36047039000
0011682,36047039100
0011683,36047039200
0011684,36047039300
0011685,36047039400
0011686,36047039500
0011687,36047039600
0011688,36047039700
0011689,36047039800
0011690,36047039900
0011691,36047040000
0011692,36047040100
0011693,36047040200
0011694,36047040300
0011695,36047040400
0011696,36047040500
0011697,36047040600
0011698,36047040700
0011699,36047040800
0011700,36047040900
0011701,36047041000
0011702,36047041100
0011703,36047041200
0011704,36047041300
0011705,36047041401
0011706,36047041402
0011707,36047041500
0011708,36047041600
0011709,36047041700
0011710,36047041800
0011711,36047041900
0011712,36047042000
0011713,36047042100
0011714,36047042200
0011715,36047042300
0011716,36047042400
0011717,36047042500
0011718,36047042600
0011719,36047042700
0011720,36047042800
0011721,36047042900
0011722,36047043000
0011723,36047043100
0011724,36047043200
0011725,36047043300
0011726,36047043400
0011727,36047043500
0011728,36047043600
0011729,36047043700
0011730,36047043800
0011731,36047043900
0011732,36047044000
0011733,36047044100
0011734,36047044200
0011735,36047044300
0011736,36047044400
0011737,36047044500
0011738,36047044600
0011739,36047044700
0011740,36047044800
0011741,36047044900
0011742,36047045000
0011743,36047045200
0011744,36047045300
0011745,36047045400
0011746,36047045600
0011747,36047045800
0011748,36047046000
0011749,36047046201
0011750,36047046202
0011751,36047046400
0011752,36047046800
0011753,36047047000
0011754,36047047200
0011755,36047047400
0011756,36047047600
0011757,36047047700
0011758,36047047800
0011759,36047048000
0011760,36047048100
0011761,36047048200
0011762,36047048400
0011763,36047048500
0011764,36047048600
0011765,36047048800
0011766,36047048900
0011767,36047049000
0011768,36047049100
0011769,36047049200
0011770,36047049300
0011771,36047049400
0011772,36047049500
0011773,36047049600
0011774,36047049700
0011775,36047049800
0011776,36047049900
0011777,36047050000
0011778,36047050100
0011779,36047050202
0011780,36047050300
0011781,36047050400
0011782,36047050500
0011783,36047050600
0011784,36047050700
0011785,36047050801
0011786,36047050803
0011787,36047050804
0011788,36047050900
0011789,36047051001
0011790,36047051002
0011791,36047051100
0011792,36047051200
0011793,36047051300
0011794,36047051400
0011795,36047051500
0011796,36047051601
0011797,36047051602
0011798,36047051700
0011799,36047051800
0011800,36047051900
0011801,36047052000
0011802,36047052300
0011803,36047052500
0011804,36047052600
0011805,36047052700
0011806,36047052800
0011807,36047052900
0011808,36047053000
0011809,36047053100
0011810,36047053200
0011811,36047053300
0011812,36047053400
0011813,36047053500
0011814,36047053700
0011815,36047053800
0011816,36047053900
0011817,36047054200
0011818,36047054300
0011819,36047054400
0011820,36047054500
0011821,36047054600
0011822,36047054700
0011823,36047054800
0011824,36047054900
0011825,36047055000
0011826,36047055100
0011827,36047055200
0011828,36047055300
0011829,36047055400
0011830,36047055500
0011831,36047055600
0011832,36047055700
0011833,36047055800
0011834,36047056000
0011835,36047056100
0011836,36047056200
0011837,36047056300
0011838,36047056400
0011839,36047056500
0011840,36047056600
0011841,36047056800
0011842,36047056900
0011843,36047057000
0011844,36047057100
0011845,36047057200
0011846,36047057300
0011847,36047057400
0011848,36047057500
0011849,36047057600
0011850,36047057800
0011851,36047057900
0011852,36047058000
0011853,36047058200
0011854,36047058400
0011855,36047058600
0011856,36047058800
0011857,36047058900
0011858,36047059000
0011859,36047059100
0011860,36047059200
0011861,36047059300
0011862,36047059401
0011863,36047059402
0011864,36047059600
0011865,36047059800
0011866,36047060000
0011867,36047060600
0011868,36047060800
0011869,36047061002
0011870,36047061003
0011871,36047061004
0011872,36047061200
0011873,36047061600
0011874,36047062000
0011875,36047062200
0011876,36047062600
0011877,36047062800
0011878,36047063200
0011879,36047063600
0011880,36047063800
0011881,36047064000
0011882,36047064200
0011883,36047064400
0011884,36047064600
0011885,36047064800
0011886,36047065000
0011887,36047065200
0011888,36047065400
0011889,36047065600
0011890,36047065800
0011891,36047066000
0011892,36047066200
0011893,36047066600
0011894,36047067000
0011895,36047067200
0011896,36047067400
0011897,36047067600
0011898,36047067800
0011899,36047068000
